ip;date;method;url;code;length;duration
192.168.1.1;2013/10/03 02:00:26;GET;/site;200;51930;758212
192.168.1.1;2013/10/03 02:01:27;GET;/site;200;51930;1067504
192.168.1.1;2013/10/03 02:02:26;GET;/site;200;51930;977114
192.168.1.1;2013/10/03 02:03:26;GET;/site;200;51930;2736560
192.168.1.1;2013/10/03 02:04:26;GET;/site;200;51930;1997144
192.168.1.1;2013/10/03 02:05:26;GET;/site;200;51930;674072
192.168.1.1;2013/10/03 02:06:27;GET;/site;200;51930;918752
192.168.1.1;2013/10/03 02:07:26;GET;/site;200;51930;737019
192.168.1.1;2013/10/03 02:08:26;GET;/site;200;51930;752353
192.168.1.1;2013/10/03 02:09:26;GET;/site;200;51930;777154
192.168.1.1;2013/10/03 02:10:26;GET;/site;200;51930;649205
192.168.1.1;2013/10/03 02:11:26;GET;/site;200;51930;674503
192.168.1.1;2013/10/03 02:12:26;GET;/site;200;51930;691900
192.168.1.1;2013/10/03 02:13:26;GET;/site;200;51930;1484213
192.168.1.1;2013/10/03 02:14:26;GET;/site;200;51930;1440989
192.168.1.1;2013/10/03 02:15:27;GET;/site;200;51930;1383956
192.168.1.1;2013/10/03 02:16:26;GET;/site;200;51930;947244
192.168.1.1;2013/10/03 02:17:26;GET;/site;200;51930;759137
192.168.1.1;2013/10/03 02:18:26;GET;/site;200;51930;1405397
192.168.1.1;2013/10/03 02:19:26;GET;/site;200;51930;1554313
192.168.1.1;2013/10/03 02:20:27;GET;/site;200;51930;1985472
192.168.1.1;2013/10/03 02:21:26;GET;/site;200;51930;2042164
192.168.1.1;2013/10/03 02:22:26;GET;/site;200;51930;2171362
192.168.1.1;2013/10/03 02:23:26;GET;/site;200;51930;1004178
192.168.1.1;2013/10/03 02:24:26;GET;/site;200;51930;1693574
192.168.1.1;2013/10/03 02:25:27;GET;/site;200;51930;4306256
192.168.1.1;2013/10/03 02:26:26;GET;/site;200;51930;3148590
192.168.1.1;2013/10/03 02:27:26;GET;/site;200;51930;1267407
192.168.1.1;2013/10/03 02:28:26;GET;/site;200;51930;3067030
192.168.1.1;2013/10/03 02:29:26;GET;/site;200;51930;4434704
192.168.1.1;2013/10/03 02:30:26;GET;/site;200;51930;4760217
192.168.1.1;2013/10/03 02:31:26;GET;/site;200;51930;4107683
192.168.1.1;2013/10/03 02:32:26;GET;/site;200;51930;3133000
192.168.1.1;2013/10/03 02:33:26;GET;/site;200;51930;3793443
192.168.1.1;2013/10/03 02:34:26;GET;/site;200;51930;927962
192.168.1.1;2013/10/03 02:35:26;GET;/site;200;51930;1193502
192.168.1.1;2013/10/03 02:36:26;GET;/site;200;51930;1073077
192.168.1.1;2013/10/03 02:37:27;GET;/site;200;51930;1416644
192.168.1.1;2013/10/03 02:38:27;GET;/site;200;51930;2830953
192.168.1.1;2013/10/03 02:39:04;GET;/site;200;10969;4611203
192.168.1.1;2013/10/03 02:39:26;GET;/site;200;51930;1249810
192.168.1.1;2013/10/03 02:40:26;GET;/site;200;51930;721574
192.168.1.1;2013/10/03 02:41:26;GET;/site;200;51930;769022
192.168.1.1;2013/10/03 02:42:26;GET;/site;200;51930;855835
192.168.1.1;2013/10/03 02:43:26;GET;/site;200;51930;2060606
192.168.1.1;2013/10/03 02:43:52;GET;/site;200;11000;2142840
192.168.1.1;2013/10/03 02:44:26;GET;/site;200;51930;652035
192.168.1.1;2013/10/03 02:45:26;GET;/site;200;51930;1153651
192.168.1.1;2013/10/03 02:46:26;GET;/site;200;51930;719746
192.168.1.1;2013/10/03 02:47:26;GET;/site;200;51930;611044
192.168.1.1;2013/10/03 02:48:26;GET;/site;200;51930;744781
192.168.1.1;2013/10/03 02:49:26;GET;/site;200;51930;670182
192.168.1.1;2013/10/03 02:50:26;GET;/site;200;51930;810323
192.168.1.1;2013/10/03 02:51:26;GET;/site;200;51930;668382
